word_index,start_sec,end_sec,canonical_word,normalized,alignment,asr_word,asr_probability
1579,732.300,732.680,distinction,distinction,DIRECT,distinction,0.9982
1580,732.680,733.360,matters.,matters,DIRECT,matters.,0.9979
1581,734.220,734.760,Investigators,investigators,DIRECT,Investigators,0.9801
1582,734.760,735.160,could,could,DIRECT,could,0.9982
1583,735.160,735.640,document,document,DIRECT,document,0.9988
1584,735.640,736.080,the,the,DIRECT,the,0.9986
1585,736.080,736.380,drilling,drilling,DIRECT,drilling,0.9931
1586,736.380,737.040,operation.,operation,DIRECT,operation.,0.9995
1587,737.740,737.880,They,they,DIRECT,They,0.9956
1588,737.880,738.020,could,could,DIRECT,could,0.9995
1589,738.020,738.420,document,document,DIRECT,document,0.9993
1590,738.420,738.660,the,the,DIRECT,the,0.9997
1591,738.660,738.960,mine.,mine,DIRECT,mine.,0.9990
1592,739.580,739.920,They,they,DIRECT,They,0.2948
1593,739.920,740.080,could,could,DIRECT,could,0.9837
1594,740.080,740.420,document,document,DIRECT,document,0.5935
1595,740.420,740.680,the,the,DIRECT,the,0.9971
1596,740.680,741.360,inundation.,inundation,DIRECT,inundation.,0.9825
1597,742.260,742.380,They,they,DIRECT,They,0.9887
1598,742.380,742.520,could,could,DIRECT,could,0.9991
1599,742.520,742.980,estimate,estimate,DIRECT,estimate,0.9972
1600,742.980,743.320,where,where,DIRECT,where,0.9926
1601,743.320,743.480,the,the,DIRECT,the,0.9915
1602,743.480,743.740,well,well,DIRECT,well,0.9814
1603,743.740,743.960,may,may,DIRECT,may,0.9929
1604,743.960,744.120,have,have,DIRECT,have,0.9984
1605,744.120,744.820,intersected,intersected,DIRECT,intersected,0.9965
1606,744.820,744.960,the,the,DIRECT,the,0.9968
1607,744.960,745.340,underground,underground,DIRECT,underground,0.9747
1608,745.340,745.900,system.,system,DIRECT,system.,0.9993
1609,746.800,747.020,But,but,DIRECT,But,0.9930
1610,747.020,747.160,the,the,DIRECT,the,0.9899
1611,747.160,747.580,disaster,disaster,DIRECT,disaster,0.9980
1612,747.580,747.900,had,had,DIRECT,had,0.9917
1613,747.900,748.200,made,made,DIRECT,made,0.9991
1614,748.200,748.720,the,the,DIRECT,the,0.9471
1615,748.720,749.300,decisive,decisive,DIRECT,decisive,0.9953
1616,749.300,749.860,physical,physical,DIRECT,physical,0.9157
1617,749.860,750.400,scene,scene,DIRECT,scene,0.9965
1618,750.400,751.420,inaccessible.,inaccessible,DIRECT,inaccessible.,0.9882
1619,752.600,752.800,So,so,DIRECT,So,0.9842
1620,752.800,753.020,two,two,DIRECT,two,0.9014
1621,753.020,753.420,statements,statements,DIRECT,statements,0.9978
1622,753.420,753.680,can,can,DIRECT,can,0.9959
1623,753.680,753.880,both,both,DIRECT,both,0.9937
1624,753.880,754.100,be,be,DIRECT,be,0.9992
1625,754.100,754.460,true.,true,DIRECT,true.,0.9998
1626,755.080,755.260,The,the,DIRECT,The,0.9896
1627,755.260,755.520,drilling,drilling,DIRECT,drilling,0.9639
1628,755.520,756.060,operation,operation,DIRECT,operation,0.9984
1629,756.060,756.280,and,and,DIRECT,and,0.9054
1630,756.280,756.600,mine,mine,DIRECT,mine,0.9967
1631,756.600,757.360,became,became,DIRECT,became,0.9904
1632,757.360,758.100,hydraulically,hydraulically,DIRECT,hydraulically,0.9936
1633,758.100,758.720,connected.,connected,DIRECT,connected.,0.9976
1634,759.420,759.680,And,and,DIRECT,And,0.9805
1635,759.680,759.800,the,the,DIRECT,the,0.9940
1636,759.800,760.220,precise,precise,DIRECT,precise,0.9989
1637,760.220,760.920,initiating,initiating,DIRECT,initiating,0.7222
1638,760.920,761.460,technical,technical,DIRECT,technical,0.9957
1639,761.460,761.840,error,error,DIRECT,error,0.9898
1640,761.840,762.420,could,could,DIRECT,could,0.9918
1641,762.420,762.620,not,not,DIRECT,not,0.9980
1642,762.620,762.920,later,later,DIRECT,later,0.9904
1643,762.920,763.140,be,be,DIRECT,be,0.9963
1644,763.140,763.640,established,established,DIRECT,established,0.9993
1645,763.640,763.920,with,with,DIRECT,with,0.9956
1646,763.920,764.500,certainty.,certainty,DIRECT,certainty.,0.9996
1647,764.980,765.320,That,that,DIRECT,That,0.9946
1648,765.320,765.460,is,is,DIRECT,is,0.9984
1649,765.460,765.620,not,not,DIRECT,not,0.9993
1650,765.620,765.760,a,a,DIRECT,a,0.9988
1651,765.760,766.060,weakness,weakness,DIRECT,weakness,0.9992
1652,766.060,766.320,in,in,DIRECT,in,0.9989
1653,766.320,766.440,the,the,DIRECT,the,0.9940
1654,766.440,766.820,story.,story,DIRECT,story.,0.9989
1655,767.200,767.700,It,it,DIRECT,It,0.4403
1656,767.700,767.860,is,is,DIRECT,is,0.9863
1657,767.860,768.040,the,the,DIRECT,the,0.9895
1658,768.040,768.520,reason,reason,DIRECT,reason,0.9946
1659,768.520,769.280,evidence,evidence,DIRECT,evidence,0.9584
1660,769.280,769.880,matters.,matters,DIRECT,matters.,0.9982
1661,771.080,771.100,The,the,DIRECT,The,0.9676
1662,771.100,771.560,uncertainty,uncertainty,DIRECT,uncertainty,0.9859
1663,771.560,772.000,did,did,DIRECT,did,0.9938
