word_index,start_sec,end_sec,canonical_word,normalized,alignment,asr_word,asr_probability
547,253.320,253.420,The,the,DIRECT,The,0.9958
548,253.420,253.760,mine,mine,DIRECT,mine,0.9960
549,253.760,254.020,had,had,DIRECT,had,0.9896
550,254.020,254.300,only,only,DIRECT,only,0.9972
551,254.300,254.600,one,one,DIRECT,one,0.9959
552,254.600,254.980,safe,safe,DIRECT,safe,0.9884
553,254.980,255.560,strategy,strategy,DIRECT,strategy,0.9980
554,255.560,256.020,left:,left,DIRECT,left.,0.9983
555,256.620,257.080,move,move,DIRECT,Move,0.9827
556,257.080,257.460,people,people,DIRECT,people,0.9962
557,257.460,257.860,out,out,DIRECT,out,0.9983
558,257.860,258.320,before,before,DIRECT,before,0.9911
559,258.320,258.780,"flooding,",flooding,DIRECT,"flooding,",0.9996
560,259.280,259.540,ground,ground,DIRECT,ground,0.9930
561,259.540,260.040,failure,failure,DIRECT,failure,0.9957
562,260.040,260.660,or,or,DIRECT,or,0.5773
563,260.660,260.900,loss,loss,DIRECT,loss,0.9955
564,260.900,261.080,of,of,DIRECT,of,0.9985
565,261.080,261.600,access,access,DIRECT,access,0.9993
566,261.600,262.240,turned,turned,DIRECT,turned,0.9120
567,262.240,262.900,distance,distance,DIRECT,distance,0.9951
568,262.900,263.520,into,into,DIRECT,into,0.9958
569,263.520,263.700,a,a,DIRECT,a,0.9995
570,263.700,264.020,trap.,trap,DIRECT,trap.,0.9993
571,265.320,265.540,Workers,workers,DIRECT,Workers,0.9918
572,265.540,265.940,began,began,DIRECT,began,0.9970
573,265.940,266.300,moving,moving,DIRECT,moving,0.9989
574,266.300,266.640,toward,toward,DIRECT,toward,0.9607
575,266.640,266.840,the,the,DIRECT,the,0.9986
576,266.840,267.260,exit.,exit,DIRECT,exit.,0.9995
577,268.260,268.640,Supervisors,supervisors,DIRECT,Supervisors,0.9903
578,268.640,268.980,and,and,DIRECT,and,0.9984
579,268.980,269.200,crew,crew,DIRECT,crew,0.9983
580,269.200,269.540,members,members,DIRECT,members,0.9593
581,269.540,269.980,had,had,DIRECT,had,0.9979
582,269.980,270.140,to,to,DIRECT,to,0.9993
583,270.140,270.440,account,account,DIRECT,account,0.9988
584,270.440,270.640,for,for,DIRECT,for,0.9991
585,270.640,271.000,people,people,DIRECT,people,0.9982
586,271.000,271.460,who,who,DIRECT,who,0.4112
587,271.460,271.580,had,had,DIRECT,had,0.9776
588,271.580,271.760,been,been,DIRECT,been,0.9986
589,271.760,272.340,distributed,distributed,DIRECT,distributed,0.9955
590,272.340,272.720,through,through,DIRECT,through,0.9911
591,272.720,272.900,the,the,DIRECT,the,0.9979
592,272.900,273.300,workings.,workings,DIRECT,workings.,0.9904
593,274.460,274.600,Some,some,DIRECT,Some,0.9948
594,274.600,274.880,had,had,DIRECT,had,0.9983
595,274.880,275.000,to,to,DIRECT,to,0.9995
596,275.000,275.120,be,be,DIRECT,be,0.9956
597,275.120,275.520,found.,found,DIRECT,found.,0.9996
598,276.380,276.580,Some,some,DIRECT,Some,0.9964
599,276.580,276.820,had,had,DIRECT,had,0.9988
600,276.820,276.980,to,to,DIRECT,to,0.9995
601,276.980,277.240,travel,travel,DIRECT,travel,0.9994
602,277.240,277.500,through,through,DIRECT,through,0.9970
603,277.500,277.660,a,a,DIRECT,a,0.9985
604,277.660,277.940,mine,mine,DIRECT,mine,0.9985
605,277.940,278.480,that,that,DIRECT,that,0.9814
606,278.480,278.640,was,was,DIRECT,was,0.9990
607,278.640,279.060,changing,changing,DIRECT,changing,0.9989
608,279.060,279.360,from,from,DIRECT,from,0.9977
609,279.360,279.520,a,a,DIRECT,a,0.9942
610,279.520,279.980,workplace,workplace,DIRECT,workplace,0.9910
611,279.980,280.680,into,into,DIRECT,into,0.9740
612,280.680,281.040,an,an,DIRECT,an,0.9973
613,281.040,281.580,emergency,emergency,DIRECT,emergency,0.9984
614,281.580,282.140,scene.,scene,DIRECT,scene.,0.9942
615,283.220,283.380,The,the,DIRECT,The,0.9923
616,283.380,283.700,official,official,DIRECT,official,0.9830
617,283.700,284.360,investigation,investigation,DIRECT,investigation,0.9989
618,284.360,284.840,later,later,DIRECT,later,0.9984
619,285.027,285.252,recognized,recognized,FORCED,,0.0000
620,285.440,286.220,several,several,DIRECT,several,0.9936
621,286.220,286.820,employees,employees,DIRECT,employees,0.9975
622,286.820,287.100,for,for,DIRECT,for,0.9952
623,287.100,287.420,leadership,leadership,DIRECT,leadership,0.9972
624,287.420,287.740,and,and,DIRECT,and,0.9932
625,287.740,288.040,search,search,DIRECT,search,0.9988
626,288.040,288.600,actions,actions,DIRECT,actions,0.9976
627,288.600,289.180,during,during,DIRECT,during,0.9951
628,289.180,289.440,the,the,DIRECT,the,0.9987
629,289.440,290.040,evacuation.,evacuation,DIRECT,evacuation.,0.9966
630,291.300,291.540,That,that,DIRECT,That,0.9907
631,291.540,291.960,matters,matters,DIRECT,matters,0.9990
632,291.960,292.320,because,because,DIRECT,because,0.9573
633,292.320,292.900,successful,successful,DIRECT,successful,0.9983
634,292.900,293.800,evacuations,evacuations,DIRECT,evacuations,0.9956
635,293.800,294.420,can,can,DIRECT,can,0.9962
636,294.420,294.600,look,look,DIRECT,look,0.9993
637,294.600,295.120,inevitable,inevitable,DIRECT,inevitable,0.9959
638,295.120,295.600,after,after,DIRECT,after,0.9956
639,295.600,295.880,the,the,DIRECT,the,0.9990
640,295.880,296.200,fact.,fact,DIRECT,fact.,0.9996
641,296.820,297.040,They,they,DIRECT,They,0.9931
642,297.040,297.140,are,are,DIRECT,are,0.9917
643,297.140,297.440,not.,not,DIRECT,not.,0.9997
644,298.320,298.620,The,the,DIRECT,The,0.4491
645,298.620,298.940,workers,workers,DIRECT,workers,0.9745
646,298.940,299.220,did,did,DIRECT,did,0.9900
647,299.220,299.420,not,not,DIRECT,not,0.9988
648,299.420,299.660,know,know,DIRECT,know,0.9968
649,299.660,299.880,how,how,DIRECT,how,0.9941
650,299.880,300.300,large,large,DIRECT,large,0.9965
651,300.300,300.600,the,the,DIRECT,the,0.9924
652,300.600,300.960,connection,connection,DIRECT,connection,0.9958
653,300.960,301.240,would,would,DIRECT,would,0.9978
654,301.240,301.660,become.,become,DIRECT,become.,0.9951
