word_index,start_sec,end_sec,canonical_word,normalized,alignment,asr_word,asr_probability
1,0.000,0.180,On,on,DIRECT,On,0.8486
2,0.180,0.460,November,november,DIRECT,November,0.9921
3,0.460,1.000,"20,",20,DIRECT,"20,",0.9943
4,1.400,1.920,"1980,",1980,DIRECT,"1980,",0.9964
5,2.680,2.800,a,a,DIRECT,a,0.9925
6,2.800,3.040,drilling,drilling,DIRECT,drilling,0.9788
7,3.040,3.460,crew,crew,DIRECT,crew,0.9995
8,3.460,3.780,on,on,DIRECT,on,0.9945
9,3.780,4.020,Lake,lake,DIRECT,Lake,0.9883
10,4.020,4.540,Peigneur,peigneur,DIRECT,Peigneur,0.5616
11,4.540,4.900,had,had,DIRECT,had,0.9965
12,4.900,5.060,a,a,DIRECT,a,0.9993
13,5.060,5.380,problem.,problem,DIRECT,problem.,0.9994
14,6.120,6.240,More,more,DIRECT,More,0.9950
15,6.240,6.420,than,than,DIRECT,than,0.9975
16,6.420,6.500,a,a,DIRECT,a,0.4786
17,6.500,6.860,thousand,thousand,DIRECT,thousand,0.9333
18,6.860,7.180,feet,feet,DIRECT,feet,0.9980
19,7.180,7.520,below,below,DIRECT,below,0.9986
20,7.520,7.860,"them,",them,DIRECT,"them,",0.9966
21,8.480,8.520,a,a,DIRECT,a,0.9839
22,8.520,8.800,salt,salt,DIRECT,salt,0.9966
23,8.800,9.120,mine,mine,DIRECT,mine,0.9894
24,9.120,9.660,had,had,DIRECT,had,0.9884
25,9.660,9.800,a,a,DIRECT,a,0.9992
26,9.800,10.080,different,different,DIRECT,different,0.9993
27,10.080,10.500,one.,one,DIRECT,one.,0.9993
28,11.100,11.300,At,at,DIRECT,At,0.9951
29,11.300,11.440,the,the,DIRECT,the,0.9990
30,11.440,11.820,"surface,",surface,DIRECT,"surface,",0.9996
31,12.280,12.440,the,the,DIRECT,the,0.9985
32,12.440,12.640,drill,drill,DIRECT,drill,0.9924
33,12.640,13.060,assembly,assembly,DIRECT,assembly,0.9990
34,13.060,13.340,was,was,DIRECT,was,0.9984
35,13.340,13.660,stuck,stuck,DIRECT,stuck,0.9864
36,13.660,13.880,at,at,DIRECT,at,0.9955
37,13.880,14.220,roughly,roughly,DIRECT,roughly,0.9995
38,14.338,14.479,twelve,twelve,FORCED,,0.0000
39,14.526,14.666,hundred,hundred,FORCED,,0.0000
40,14.714,14.854,and,and,FORCED,,0.0000
41,14.902,15.042,twenty-eight,twentyeight,FORCED,,0.0000
42,15.160,15.820,feet.,feet,DIRECT,feet.,0.9843
43,16.555,16.805,"Underground,",underground,FORCED,,0.0000
44,17.540,17.880,workers,workers,DIRECT,workers,0.9990
45,17.880,18.120,were,were,DIRECT,were,0.9991
46,18.120,18.420,finding,finding,DIRECT,finding,0.9995
47,18.420,18.900,water,water,DIRECT,water,0.9988
48,18.900,19.200,where,where,DIRECT,where,0.9768
49,19.200,19.560,water,water,DIRECT,water,0.9982
50,19.560,19.820,should,should,DIRECT,should,0.9987
51,19.820,20.060,never,never,DIRECT,never,0.9924
52,20.060,20.280,have,have,DIRECT,have,0.9991
53,20.280,20.620,been.,been,DIRECT,been.,0.9996
54,21.420,21.640,In,in,DIRECT,In,0.9983
55,21.640,21.740,a,a,DIRECT,a,0.9970
56,21.740,22.020,salt,salt,DIRECT,salt,0.9983
57,22.020,22.460,mine.,mine,DIRECT,"mine,",0.9954
58,22.825,23.075,Fifty-two,fiftytwo,FORCED,,0.0000
59,23.440,24.040,people,people,DIRECT,people,0.9992
60,24.040,24.400,were,were,DIRECT,were,0.9989
61,24.400,24.680,below,below,DIRECT,below,0.9992
62,24.680,25.200,ground.,ground,DIRECT,ground.,0.9971
63,25.980,26.160,Seven,seven,DIRECT,Seven,0.9418
64,26.160,26.540,more,more,DIRECT,more,0.9975
65,26.540,26.920,were,were,DIRECT,were,0.9968
66,26.920,27.060,on,on,DIRECT,on,0.9993
67,27.060,27.180,the,the,DIRECT,the,0.9993
68,27.180,27.460,drilling,drilling,DIRECT,drilling,0.9988
69,27.460,27.960,platform,platform,DIRECT,platform,0.9995
70,27.960,28.300,above,above,DIRECT,above,0.9954
71,28.300,28.660,them.,them,DIRECT,them.,0.9997
72,29.160,29.460,Within,within,DIRECT,Within,0.9163
73,29.460,29.960,"hours,",hours,DIRECT,"hours,",0.9925
74,30.180,30.420,the,the,DIRECT,the,0.9984
75,30.420,30.780,platform,platform,DIRECT,platform,0.9964
76,30.780,31.040,would,would,DIRECT,would,0.9975
77,31.040,31.200,be,be,DIRECT,be,0.9991
78,31.200,31.500,gone.,gone,DIRECT,gone.,0.9990
79,32.400,32.560,Part,part,DIRECT,Part,0.9830
80,32.560,32.720,of,of,DIRECT,of,0.9995
81,32.720,32.840,the,the,DIRECT,the,0.9971
82,32.840,33.320,shoreline,shoreline,DIRECT,shoreline,0.9902
83,33.320,33.540,would,would,DIRECT,would,0.9976
84,33.540,33.720,be,be,DIRECT,be,0.9994
85,33.720,34.060,gone.,gone,DIRECT,"gone,",0.9994
86,34.760,34.920,And,and,DIRECT,and,0.9881
87,34.920,35.040,the,the,DIRECT,the,0.9983
88,35.040,35.400,canal,canal,DIRECT,canal,0.9985
89,35.400,35.820,connected,connected,DIRECT,connected,0.9732
90,35.820,36.080,to,to,DIRECT,to,0.9986
91,36.080,36.220,the,the,DIRECT,the,0.9965
92,36.220,36.480,lake,lake,DIRECT,lake,0.9903
93,36.480,37.000,would,would,DIRECT,would,0.9955
94,37.000,37.300,begin,begin,DIRECT,begin,0.9923
95,37.300,37.640,flowing,flowing,DIRECT,flowing,0.9984
96,37.640,38.080,in,in,DIRECT,in,0.9979
97,38.080,38.200,the,the,DIRECT,the,0.9996
98,38.200,38.400,wrong,wrong,DIRECT,wrong,0.9997
99,38.400,39.000,direction.,direction,DIRECT,direction.,0.9997
100,40.000,40.280,Everyone,everyone,DIRECT,Everyone,0.9917
101,40.280,40.580,would,would,DIRECT,would,0.9989
102,40.580,41.060,survive.,survive,DIRECT,survive.,0.9998
103,41.940,42.160,But,but,DIRECT,But,0.9936
104,42.160,42.300,the,the,DIRECT,the,0.9912
105,42.300,42.880,industrial,industrial,DIRECT,industrial,0.9983
106,42.880,43.520,landscape,landscape,DIRECT,landscape,0.9982
107,43.520,43.900,beneath,beneath,DIRECT,beneath,0.9976
108,43.900,44.400,Jefferson,jefferson,DIRECT,Jefferson,0.9933
109,44.400,44.860,Island,island,DIRECT,Island,0.9893
110,44.860,45.560,would,would,DIRECT,would,0.9931
111,45.560,45.800,never,never,DIRECT,never,0.9993
112,45.800,46.040,be,be,DIRECT,be,0.9994
113,46.040,46.220,the,the,DIRECT,the,0.9994
114,46.220,46.520,same.,same,DIRECT,same.,0.9999
115,47.640,47.920,What,what,DIRECT,What,0.9962
116,47.920,48.200,happened,happened,DIRECT,happened,0.9960
117,48.200,48.460,here,here,DIRECT,here,0.9976
118,48.460,48.620,is,is,DIRECT,is,0.9979
119,48.620,48.840,often,often,DIRECT,often,0.9977
120,48.840,49.200,reduced,reduced,DIRECT,reduced,0.9987
121,49.200,49.460,to,to,DIRECT,to,0.9992
122,49.460,49.700,one,one,DIRECT,one,0.9979
123,49.700,50.200,bad,bad,DIRECT,bad,0.9941
124,50.200,50.640,drilling,drilling,DIRECT,drilling,0.9808
125,50.640,51.120,mistake.,mistake,DIRECT,mistake.,0.9993
126,51.960,52.220,The,the,DIRECT,The,0.9976
127,52.220,52.440,real,real,DIRECT,real,0.9989
128,52.440,52.900,story,story,DIRECT,story,0.9990
129,52.900,53.480,is,is,DIRECT,is,0.9967
130,53.480,53.980,larger.,larger,DIRECT,larger.,0.9987
131,53.980,54.640,It,it,DIRECT,It,0.7887
132,54.640,54.960,is,is,DIRECT,is,0.9927
133,54.960,55.240,about,about,DIRECT,about,0.9988
134,55.240,55.640,two,two,DIRECT,two,0.9819
135,55.640,56.220,industrial,industrial,DIRECT,industrial,0.9979
136,56.220,57.000,systems,systems,DIRECT,systems,0.9993
137,57.000,57.740,occupying,occupying,DIRECT,occupying,0.9811
138,57.740,58.060,the,the,DIRECT,the,0.9988
139,58.060,58.360,same,same,DIRECT,same,0.9998
140,58.360,59.020,geology,geology,DIRECT,geology.,0.9986
141,59.800,59.980,and,and,DIRECT,And,0.9759
142,59.980,60.140,what,what,DIRECT,what,0.9888
143,60.140,60.540,happened,happened,DIRECT,happened,0.9992
144,60.540,61.060,when,when,DIRECT,when,0.9862
145,61.060,61.200,the,the,DIRECT,the,0.9988
146,61.200,61.580,boundary,boundary,DIRECT,boundary,0.9973
147,61.580,61.960,between,between,DIRECT,between,0.9964
148,61.960,62.320,them,them,DIRECT,them,0.9988
149,62.320,63.080,disappeared.,disappeared,DIRECT,disappeared?,0.9976
150,64.180,64.360,Lake,lake,DIRECT,Lake,0.9933
151,64.360,64.820,Peigneur,peigneur,DIRECT,Peigneur,0.4419
152,64.820,65.120,looked,looked,DIRECT,looked,0.9929
153,65.120,65.560,simple,simple,DIRECT,simple,0.9970
154,65.560,65.780,from,from,DIRECT,from,0.9970
155,65.780,65.940,the,the,DIRECT,the,0.9989
156,65.940,66.320,surface.,surface,DIRECT,"surface,",0.9998
157,66.860,67.020,A,a,DIRECT,a,0.9957
158,67.020,67.340,shallow,shallow,DIRECT,shallow,0.9992
159,67.340,67.880,Louisiana,louisiana,DIRECT,Louisiana,0.9871
160,67.880,68.360,lake.,lake,DIRECT,"lake,",0.9152
161,69.060,69.400,Trees,trees,DIRECT,trees,0.9961
162,69.400,69.660,and,and,DIRECT,and,0.9908
163,69.660,70.080,gardens,gardens,DIRECT,gardens,0.9995
164,70.080,70.540,around,around,DIRECT,around,0.9976
165,70.540,70.880,Jefferson,jefferson,DIRECT,Jefferson,0.9946
166,70.880,71.360,Island.,island,DIRECT,"Island,",0.9737
167,72.020,72.220,A,a,DIRECT,a,0.9981
168,72.220,72.460,drilling,drilling,DIRECT,drilling,0.9972
169,72.460,73.060,platform,platform,DIRECT,platform,0.9993
170,73.060,73.640,floating,floating,DIRECT,floating,0.9771
171,73.640,73.940,on,on,DIRECT,on,0.9965
172,73.940,74.060,the,the,DIRECT,the,0.9975
173,74.060,74.460,water.,water,DIRECT,water.,0.9997
174,75.260,75.560,But,but,DIRECT,But,0.9975
175,75.560,75.680,the,the,DIRECT,the,0.9979
176,75.680,76.220,landscape,landscape,DIRECT,landscape,0.9988
177,76.220,76.820,was,was,DIRECT,was,0.9987
178,77.580,77.830,three-dimensional.,threedimensional,FORCED,,0.0000
179,78.590,79.000,Jefferson,jefferson,DIRECT,Jefferson,0.1916
180,79.000,79.520,Island,island,DIRECT,Island,0.9774
181,79.520,80.400,rises,rises,DIRECT,rises,0.9830
182,80.400,80.820,above,above,DIRECT,above,0.9965
183,80.820,81.020,the,the,DIRECT,the,0.9978
184,81.020,81.340,coastal,coastal,DIRECT,coastal,0.9195
185,81.340,81.820,plain,plain,DIRECT,plain,0.9776
