index,start,end,word,mode,confidence,chunk
1,749.440,749.700,If,exact,0.7935,3
2,749.700,749.920,the,exact,0.9974,3
3,749.920,750.120,mine,exact,0.7436,3
4,750.120,750.340,had,exact,0.9987,3
5,750.340,750.560,to,exact,0.9989,3
6,750.560,750.940,expose,exact,0.9938,3
7,750.940,751.360,more,exact,0.9844,3
8,751.360,752.060,coal,exact,0.8883,3
9,752.560,752.680,Big,exact,0.6294,3
10,752.680,753.260,Muskie,interp,0.0,3
11,753.260,753.580,had,exact,0.9952,3
12,753.580,753.740,to,exact,0.9987,3
13,753.740,754.100,move,exact,0.9985,3
14,754.100,754.600,more,exact,0.9993,3
15,754.600,755.280,earth,exact,0.7612,3
16,755.500,755.820,And,exact,0.9749,3
17,755.820,755.960,if,exact,0.9889,3
18,755.960,756.200,Big,exact,0.9801,3
19,756.200,756.560,Muskie,interp,0.0,3
20,756.560,756.760,had,exact,0.9947,3
21,756.760,756.900,to,exact,0.9978,3
22,756.900,757.200,move,exact,0.9982,3
23,757.200,757.580,more,exact,0.9988,3
24,757.580,758.120,earth,exact,0.9811,3
25,758.320,758.560,the,exact,0.9982,3
26,758.560,758.940,entire,exact,0.9993,3
27,758.940,759.280,system,exact,0.9994,3
28,759.280,759.680,around,exact,0.979,3
29,759.680,760.120,it,exact,0.9978,3
30,760.120,760.300,had,exact,0.9823,3
31,760.300,760.440,to,exact,0.9981,3
32,760.440,760.680,keep,exact,0.9993,3
33,760.680,760.900,the,exact,0.9989,3
34,760.900,761.240,machine,exact,0.9988,3
35,761.240,761.800,working,exact,0.9968,3
36,762.780,763.000,In,exact,0.9956,3
37,763.000,763.180,the,exact,0.9988,3
38,763.180,763.420,late,exact,0.9989,3
39,763.420,764.820,1960s,exact,0.9354,3
40,764.920,765.100,that,exact,0.9976,3
41,765.100,765.540,logic,exact,0.9986,3
42,765.540,766.000,was,exact,0.9991,3
43,766.000,766.480,convincing,exact,0.9989,3
44,767.360,767.580,But,exact,0.9978,3
45,767.580,767.760,it,exact,0.998,3
46,767.760,768.200,contained,exact,0.9983,3
47,768.200,768.400,a,exact,0.7589,3
48,768.400,768.940,vulnerability,exact,0.9835,3
49,770.000,770.200,The,exact,0.9957,3
50,770.200,770.360,more,exact,0.9599,3
51,770.360,770.560,a,exact,0.993,3
52,770.560,770.800,system,exact,0.9997,3
53,770.800,771.200,depends,exact,0.999,3
54,771.200,771.380,on,exact,0.9986,3
55,771.380,771.640,one,exact,0.9977,3
56,771.640,771.940,unique,exact,0.9992,3
57,771.940,772.500,machine,exact,0.9996,3
58,772.980,773.040,the,exact,0.9982,3
59,773.040,773.280,more,exact,0.9998,3
60,773.280,773.620,expensive,exact,0.9977,3
61,773.620,773.900,it,exact,0.9991,3
62,773.900,774.280,becomes,exact,0.9989,3
63,774.280,774.760,when,exact,0.8902,3
64,774.760,775.080,that,exact,0.9969,3
65,775.080,775.440,machine,exact,0.9999,3
66,775.440,775.960,is,exact,0.9992,3
67,775.960,776.440,unavailable,exact,0.9913,3
68,776.440,777.600,And,exact,0.3004,3
69,777.600,777.900,yet,exact,0.9821,3
70,777.900,778.300,the,exact,0.7473,3
71,778.300,778.660,idea,exact,0.9854,3
72,778.660,779.400,worked,exact,0.9949,3
